,Unix Time,Microseconds,easting,northing,Heading (degrees)
17658,1722679406,338000,525696.3828942421,5681198.054106932,289.6290852366248
17659,1722679406,343000,525696.3829159639,5681198.054094499,289.6290852366248
17660,1722679406,348000,525696.3829379253,5681198.054081179,289.6290852366248
17661,1722679406,353000,525696.382960433,5681198.054068087,289.6290269523439
17662,1722679406,358000,525696.3829835282,5681198.054056414,289.6287938152202
17663,1722679406,363000,525696.3821473252,5681198.05190623,289.6274144205718
17664,1722679406,368000,525696.3821662052,5681198.051884004,289.6273755643846
17665,1722679406,373000,525696.3821857593,5681198.051862555,289.62751156104
17666,1722679406,378000,525696.3822060067,5681198.051841408,289.627569845321
17667,1722679406,383000,525696.3822266401,5681198.051821104,289.6276669857892
17668,1722679406,388000,525696.3822470744,5681198.05180019,289.62791955100647
17669,1722679406,393000,525696.382267507,5681198.051778902,289.6279389791001
17670,1722679406,398000,525696.3822879347,5681198.051755769,289.62801669147467
17671,1722679406,403000,525696.3823117205,5681198.051724577,289.6281526881301
17672,1722679406,408000,525696.3823304317,5681198.051696388,289.6280555476619
17673,1722679406,413000,525696.3823449435,5681198.051672576,289.6279389791001
17674,1722679406,418000,525696.3823630189,5681198.05164254,289.6282886847856
17675,1722679406,423000,525696.3823812094,5681198.051612561,289.62842468144106
17676,1722679406,428000,525696.3823998724,5681198.051583529,289.6284635376284
17677,1722679406,433000,525696.3824192268,5681198.051555916,289.62852182190926
17678,1722679406,438000,525696.3824393504,5681198.05152901,289.6286772466584
17679,1722679406,443000,525696.3824595264,5681198.051503148,289.6287355309393
17680,1722679406,448000,525696.3824793145,5681198.051477335,289.62875495903296
17681,1722679406,453000,525696.3824992225,5681198.051451291,289.62887152759475
17682,1722679406,458000,525696.3825194314,5681198.051424548,289.6285801061902
17683,1722679406,463000,525696.3832085871,5681198.051032157,289.6284635376284
17684,1722679406,468000,525696.3832317147,5681198.051001798,289.628482965722
17685,1722679406,473000,525696.3832544717,5681198.050972112,289.6282886847856
17686,1722679406,478000,525696.383277214,5681198.050943216,289.62801669147467
17687,1722679406,483000,525696.3832996907,5681198.050914741,289.6279389791001
17688,1722679406,488000,525696.3833218322,5681198.050886212,289.6281915443174
17689,1722679406,493000,525696.3833439127,5681198.050858359,289.62832754097286
17690,1722679406,498000,525696.3833657798,5681198.050830579,289.6282498285983
17691,1722679406,503000,525696.3833878911,5681198.050803292,289.628269256692
17692,1722679406,508000,525696.3834104213,5681198.050776687,289.6283858252538
17693,1722679406,513000,525696.3834335192,5681198.050750162,289.6285412500029
17694,1722679406,518000,525696.383457471,5681198.050724061,289.6285995342838
17695,1722679406,523000,525696.3834813347,5681198.050696621,289.6285412500029
17696,1722679406,528000,525696.3835048005,5681198.05066765,289.6287355309393
17697,1722679406,533000,525696.3835275776,5681198.050637297,289.62887152759475
17698,1722679406,538000,525696.383549822,5681198.0506050745,289.6286578185648
17699,1722679406,543000,525696.3835721973,5681198.050572766,289.62861896237746
17700,1722679406,548000,525696.3835943823,5681198.050541215,289.62861896237746
17701,1722679406,553000,525696.383616527,5681198.050511013,289.6286578185648
17702,1722679406,558000,525696.3823834482,5681198.054632457,289.628269256692
17703,1722679406,563000,525696.3823999775,5681198.054625842,289.6282498285983
17704,1722679406,568000,525696.3824167913,5681198.054620707,289.62832754097286
17705,1722679406,573000,525696.3824335289,5681198.054615722,289.6284635376284
17706,1722679406,578000,525696.3824504422,5681198.054610588,289.6286578185648
17707,1722679406,583000,525696.3824678623,5681198.054605201,289.62875495903296
17708,1722679406,588000,525696.3824851556,5681198.054599318,289.62875495903296
17709,1722679406,593000,525696.3825026989,5681198.054593629,289.6285412500029
17710,1722679406,598000,525696.3825206651,5681198.054586946,289.6282886847856
17711,1722679406,603000,525696.3825385487,5681198.0545792235,289.628269256692
17712,1722679406,608000,525696.3825556443,5681198.054570094,289.62821097241107
17713,1722679406,613000,525696.3825716927,5681198.054559582,289.6280555476619
17714,1722679406,618000,525696.382587705,5681198.054549188,289.62778355435097
